id,class,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-size,gill-color,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,veil-color,habitat
132,e,f,s,w,,f,n,w,t,w,w,w,d
133,e,x,y,y,l,f,b,g,e,w,w,w,m
134,e,f,s,w,a,f,n,p,t,w,w,w,d
135,p,x,y,w,p,f,n,w,e,w,w,w,u
136,e,f,f,w,l,f,n,w,t,w,w,w,d
137,e,x,y,y,a,f,b,n,e,w,w,w,g
138,p,x,s,n,p,f,n,p,e,w,w,w,g
139,e,b,s,y,l,f,b,w,e,w,w,w,g
140,e,x,y,n,a,f,b,w,e,w,w,w,p
141,e,b,y,y,l,f,b,g,e,w,w,w,m
142,e,s,f,n,n,f,n,k,e,w,w,w,u
143,e,f,y,n,a,f,b,w,e,w,w,w,p
144,e,x,y,y,a,f,b,k,e,w,w,w,g
145,e,x,f,g,n,f,b,k,t,w,w,w,g
146,e,f,f,w,n,f,b,k,t,w,w,w,g
147,e,x,y,y,l,f,b,w,e,w,w,w,m
148,e,b,s,y,l,f,b,k,e,w,w,w,g
149,e,b,y,w,a,f,b,g,e,w,w,w,m
150,e,x,y,w,a,,b,w,e,,w,w,g
151,e,x,s,n,n,f,b,p,t,w,w,w,g
152,e,x,y,w,l,f,b,g,e,w,w,w,g
153,e,s,f,n,n,f,n,k,e,w,w,w,u
154,e,x,s,w,a,f,n,w,t,w,w,w,d
155,e,x,y,n,l,f,b,w,e,w,w,w,g
156,e,b,y,y,a,f,b,k,e,w,w,w,g
157,e,x,y,w,a,f,b,k,e,w,w,w,g
158,e,b,y,w,a,f,b,n,e,w,w,w,m
159,e,b,s,y,a,f,b,g,e,w,w,w,g
160,e,b,s,y,l,f,b,g,e,w,w,w,m
161,e,b,y,y,a,f,b,n,e,w,w,w,g
162,e,x,f,n,n,f,n,k,e,w,w,w,u
163,e,f,y,n,l,f,b,n,e,w,w,w,g
164,e,x,y,w,a,f,b,k,e,w,w,w,g
165,e,f,y,y,l,f,b,w,e,w,w,w,p
166,e,b,s,w,a,f,b,w,e,w,w,w,g
167,e,b,s,w,a,f,b,w,e,w,w,w,m
168,e,x,y,n,l,f,b,w,e,w,w,w,g
169,e,b,s,w,a,f,b,k,e,w,w,w,g
170,e,x,f,g,n,f,n,g,e,w,w,w,u
171,e,b,s,y,l,f,b,k,e,w,w,w,g
172,e,x,f,y,l,f,n,n,t,w,w,w,d
173,e,b,y,y,a,f,b,w,e,w,w,w,
174,e,f,y,y,l,f,b,p,e,w,w,w,g
175,e,b,y,w,l,f,b,w,e,w,w,w,m
176,e,b,y,w,a,f,b,k,e,w,w,w,m
177,e,b,y,y,a,f,b,g,e,w,w,w,g
178,e,x,y,y,l,f,b,g,e,w,w,w,m
179,e,b,s,y,l,f,b,g,e,w,w,w,g
180,p,x,y,w,p,f,n,p,e,w,w,w,u
181,e,s,f,n,n,f,n,g,e,w,w,w,u
182,e,f,f,n,n,f,n,g,e,w,w,w,u
183,e,x,s,y,a,f,b,g,e,w,,w,m
184,e,f,y,n,a,f,b,p,e,w,w,w,p
185,p,x,y,w,p,f,n,k,e,w,w,w,g
186,e,b,,w,l,f,b,g,e,w,w,w,m
187,e,f,f,g,n,f,n,p,e,w,w,w,u
188,e,b,y,y,l,f,b,g,e,w,w,w,g
189,e,x,y,n,a,f,b,w,e,w,w,w,p
190,e,x,f,w,n,f,b,p,t,w,w,w,g
191,e,x,s,w,l,f,n,w,t,w,w,w,d
192,e,b,s,w,l,f,b,w,e,w,w,w,
193,e,f,s,y,a,f,n,w,t,w,w,w,d
194,e,x,s,y,a,f,b,k,e,w,w,w,m
195,e,f,f,g,n,f,n,g,e,w,w,w,u
196,e,b,s,y,a,f,b,n,e,w,w,w,g
197,e,x,s,w,l,,b,g,e,w,w,w,m
198,e,x,y,w,l,f,b,n,e,w,w,w,m
199,e,f,s,w,a,f,n,n,t,w,w,w,d
200,e,x,y,y,l,f,b,w,e,w,w,w,g
201,e,b,s,w,l,f,b,w,e,w,w,w,g
202,e,x,s,w,a,f,b,g,e,w,w,w,g
203,e,x,f,w,n,f,b,h,t,w,w,w,g
204,e,f,y,n,l,f,b,n,e,w,w,w,p
205,p,x,s,w,p,f,n,k,e,w,w,w,u
206,e,b,s,w,a,f,b,n,e,w,w,,g
207,e,b,s,w,a,f,b,k,e,w,w,w,m
208,e,b,y,w,l,f,b,n,e,w,w,w,g
209,e,b,y,w,a,f,b,w,e,w,w,w,g
210,e,x,s,y,a,f,b,w,e,w,w,w,g
211,e,b,s,w,l,f,b,,e,w,w,w,m
212,e,x,f,y,a,f,n,n,t,w,w,w,d
213,e,x,f,g,n,f,n,n,e,w,w,w,u
214,e,f,y,y,a,f,b,n,e,,w,w,g
215,e,b,s,w,l,f,b,n,e,w,w,w,m
216,e,x,s,y,a,f,b,g,e,w,w,w,g
217,e,x,y,y,a,f,b,k,e,w,w,w,g
218,e,x,y,w,l,f,b,w,e,w,w,w,g
219,e,s,f,g,n,f,n,p,e,w,w,w,u
220,e,,s,w,a,f,b,n,e,w,w,w,m
221,p,x,s,w,p,f,n,k,e,w,w,w,g
222,e,x,y,y,a,f,b,n,e,w,w,w,g
223,e,f,f,w,a,f,n,p,t,w,w,w,d
224,e,x,y,w,l,f,b,g,e,w,w,w,m
225,e,b,y,w,l,f,b,n,e,w,w,w,g
226,e,x,s,w,a,f,b,g,e,w,w,w,g
227,e,x,s,y,a,f,b,g,e,w,w,w,g
228,p,x,y,n,p,f,n,p,e,w,w,w,u
229,e,b,s,y,a,f,b,n,e,w,w,w,g
230,e,x,f,g,n,f,n,n,e,w,w,w,u
231,p,x,y,w,p,f,n,k,e,w,w,w,u
232,e,x,y,y,l,f,b,n,e,w,w,w,p
233,e,f,f,n,n,f,n,k,e,w,w,w,u
234,e,b,s,w,l,f,b,k,e,w,w,w,g
235,e,x,f,w,l,f,n,w,t,w,w,w,d
236,e,x,y,w,l,f,b,w,e,w,w,w,g
237,e,b,y,y,l,f,b,n,e,w,w,w,g
238,e,x,y,y,l,f,b,n,e,w,w,w,g
239,e,f,y,y,a,f,b,p,e,w,w,w,p
240,e,f,y,y,a,f,b,w,e,w,w,w,p
241,e,x,s,w,l,f,b,w,e,w,w,w,g
242,e,x,s,w,a,f,b,w,e,w,w,w,m
243,p,x,s,w,p,f,n,n,e,w,w,w,u
244,e,f,f,w,a,f,n,p,t,w,w,w,d
245,e,x,s,w,l,f,b,w,e,w,w,,g
246,e,x,s,w,l,f,n,p,t,w,w,w,d
247,e,x,y,w,a,f,b,n,e,w,w,w,m
248,e,f,y,y,l,f,b,w,e,w,w,w,p
249,e,x,s,n,n,f,b,p,t,w,w,w,g
250,e,f,y,y,a,f,b,w,e,w,w,w,g
251,p,x,s,n,p,,,p,e,w,w,w,g
252,e,s,f,n,n,f,n,g,e,w,,w,u
253,e,b,y,y,l,f,b,w,e,w,w,w,m
254,e,b,s,w,l,f,b,n,e,w,w,w,g
255,e,b,y,w,l,f,b,k,e,w,w,w,m
256,e,f,f,n,n,f,n,k,e,w,w,w,u
257,e,x,s,w,a,f,b,w,,w,w,w,m
258,e,b,y,w,l,f,b,g,e,w,w,w,g
259,e,b,y,w,a,f,b,g,e,w,w,w,m
260,e,f,y,n,l,f,b,w,e,w,w,w,g
261,p,x,y,w,p,f,n,k,e,w,w,w,g
262,e,x,s,w,a,f,b,n,e,w,w,w,g
263,e,x,y,w,a,f,b,n,e,w,w,w,m
264,e,f,f,w,l,f,n,w,t,w,w,w,d
265,e,f,f,g,n,f,n,g,e,w,w,w,u
266,e,f,s,g,n,f,b,p,t,w,w,w,g
267,e,x,y,y,a,f,b,g,e,w,w,w,m
268,e,b,s,w,a,f,b,k,e,w,w,w,m
269,p,f,y,n,p,f,n,w,e,w,w,w,
270,e,x,s,w,l,f,b,n,e,w,w,w,m
271,p,f,s,n,p,f,n,w,e,w,w,w,u
272,e,x,y,w,l,f,b,k,e,w,w,w,g
273,e,x,y,y,a,f,b,k,e,w,w,w,m
274,e,f,y,y,a,f,b,n,e,w,w,w,p
275,e,x,y,n,a,f,b,w,e,,w,w,p
276,e,f,y,n,a,f,b,w,e,w,w,w,g
277,e,x,y,w,a,f,b,w,e,w,w,w,m
278,e,f,f,n,n,f,b,h,t,w,w,w,g
279,e,x,s,y,l,f,b,k,e,w,w,w,m
280,p,x,y,w,p,f,n,w,e,w,w,w,g
281,e,b,y,y,a,f,b,n,e,w,w,w,m
282,e,s,f,n,n,f,n,p,e,w,w,,u
283,e,x,s,y,l,f,b,k,e,w,w,w,m
284,e,b,y,w,l,f,b,n,e,w,w,w,m
285,e,f,y,n,a,f,b,n,e,w,w,w,g
286,e,b,y,y,a,f,b,g,e,w,w,w,m
287,e,b,y,w,a,f,b,g,e,w,w,w,g
288,e,x,y,n,l,f,b,n,e,w,w,w,p
289,e,f,f,g,n,f,n,p,e,w,w,w,u
290,e,x,f,g,n,f,n,g,e,w,w,w,u
291,e,b,y,y,l,f,b,n,e,w,w,w,g
292,e,x,s,y,l,f,b,n,e,w,w,w,m
293,e,b,y,w,l,f,b,k,e,w,w,w,g
294,e,x,s,w,a,f,b,g,e,w,w,w,m
295,e,b,s,y,a,f,b,g,e,w,w,w,m
296,e,x,s,y,a,f,b,k,e,w,w,w,m
297,e,x,f,g,n,f,b,p,t,w,w,w,g
298,e,f,s,y,a,f,n,p,t,w,w,w,d
299,p,x,y,w,p,f,n,p,e,w,w,w,g
300,e,x,f,w,n,f,,k,t,w,w,w,g
301,e,b,y,w,a,f,b,w,e,w,w,w,g
302,e,x,s,y,l,f,n,w,t,w,w,w,d
303,e,b,y,w,a,f,b,n,e,w,w,w,g
304,e,x,y,w,l,f,b,g,e,w,w,w,g
305,e,x,f,n,n,f,b,p,t,g,p,w,
306,e,b,y,w,l,f,b,k,e,w,w,w,m
307,e,x,s,y,l,f,b,g,e,w,w,w,m
308,e,f,y,n,a,f,b,p,e,w,w,w,g
309,e,x,f,w,n,f,b,n,t,w,w,w,g
310,e,x,s,y,l,f,b,w,e,w,w,w,g
311,p,x,y,w,p,f,n,n,e,w,w,w,g
312,e,x,y,y,l,f,b,n,e,w,w,w,g
313,e,x,f,w,a,f,n,p,t,w,w,w,d
314,e,b,s,y,a,f,b,g,e,w,w,w,g
315,p,x,y,w,p,f,n,k,e,w,w,w,u
316,e,x,s,y,a,f,n,w,t,w,w,w,d
317,e,x,y,w,a,f,b,k,e,w,w,w,m
318,e,x,f,w,l,f,n,n,t,w,w,w,d
319,e,f,s,w,l,f,n,w,t,w,w,w,d
320,e,x,y,y,l,f,b,k,e,w,w,w,m
321,e,f,f,y,a,f,n,w,t,w,w,w,d
322,e,x,s,w,a,f,b,w,e,w,w,w,g
323,e,b,y,y,a,f,b,n,e,w,w,w,m
324,e,x,y,n,l,f,b,p,e,w,w,w,p
325,e,b,y,w,l,f,b,k,e,w,w,w,g
326,e,x,s,y,a,f,b,n,e,w,w,w,m
327,p,x,y,n,p,f,n,n,e,w,w,w,u
328,e,b,s,y,l,f,b,w,e,w,w,w,g
329,e,b,y,w,a,f,b,g,e,w,w,w,g
330,p,x,y,n,p,f,n,w,e,w,w,w,u
331,e,b,s,w,l,f,b,n,e,w,w,w,m
332,e,b,y,y,l,f,b,w,e,w,w,w,m
333,e,b,y,y,a,f,b,n,e,w,w,w,g
334,e,x,y,w,l,f,b,g,e,w,w,w,g
335,e,x,f,n,n,f,b,p,t,p,w,w,d
336,e,x,y,n,a,f,b,w,e,w,w,w,g
337,e,b,s,y,l,f,b,,e,w,w,w,g
338,e,x,f,g,n,f,n,g,e,w,w,w,u
339,e,x,y,n,l,f,b,n,e,w,w,w,g
340,e,x,s,w,a,f,b,k,e,w,w,w,g
341,e,b,y,w,a,f,b,n,e,w,w,w,g
342,e,x,s,y,a,f,b,g,e,w,w,w,m
343,e,f,f,y,a,f,n,p,t,w,w,w,d
344,e,b,y,y,l,f,b,g,e,w,w,w,g
345,e,x,f,n,n,f,b,n,t,w,w,w,g
346,e,x,f,y,l,f,n,n,t,w,w,w,d
347,e,x,s,y,a,f,b,n,e,w,w,w,m
348,e,f,s,g,n,f,b,n,t,w,w,w,g
349,e,x,f,n,n,f,n,g,e,w,w,w,u
350,e,,s,g,n,f,b,h,t,w,w,w,g
351,e,f,y,n,a,f,b,p,e,w,w,w,p
352,e,b,y,w,a,f,b,k,e,w,w,w,g
353,e,b,s,y,a,f,b,k,e,w,w,w,m
354,e,x,y,y,l,f,b,w,e,w,w,w,p
355,e,s,f,g,n,f,n,g,e,w,w,w,u
356,e,f,y,n,a,f,b,p,e,w,w,w,p
357,p,x,y,n,p,f,n,k,e,w,w,w,u
358,e,x,y,y,a,f,b,p,e,w,w,w,p
359,e,x,y,y,a,f,b,w,e,w,w,w,g
360,e,x,f,n,n,f,b,h,t,w,w,w,g
361,e,x,f,n,n,f,b,p,t,w,w,w,g
362,e,f,s,n,n,f,b,k,t,w,w,w,g
363,e,f,y,n,,f,b,n,e,w,w,w,p
364,e,x,s,y,a,,b,w,e,w,w,w,g
365,e,f,f,n,n,f,n,p,e,w,w,w,u
366,e,x,y,y,a,f,b,w,e,w,w,w,p
367,e,x,f,y,a,f,n,p,t,w,w,w,d
368,e,b,y,y,a,f,b,g,e,w,w,w,g
369,e,x,f,g,n,f,b,n,t,w,w,w,g
370,e,x,y,y,a,f,b,w,e,w,w,w,g
371,e,f,y,n,l,f,b,n,e,w,w,w,g
372,e,x,s,y,a,f,b,w,e,w,w,w,m
373,e,s,f,n,n,f,n,n,e,w,w,w,u
374,e,x,s,w,a,f,b,k,e,w,w,w,m
375,e,b,s,w,l,f,b,n,e,w,w,w,g
376,e,s,f,n,n,f,n,k,e,w,w,w,u
377,e,b,y,y,l,f,b,n,e,w,w,w,m
378,e,x,y,y,l,f,b,k,e,w,w,w,g
379,e,b,y,y,a,f,b,k,e,w,w,w,g
380,p,x,y,n,p,f,n,p,e,w,w,w,u
381,e,x,s,w,n,f,b,k,t,w,w,w,g
382,e,x,y,w,a,f,b,w,e,w,w,w,m
383,e,b,s,,a,f,b,g,e,w,w,w,g
384,e,x,f,n,n,f,b,n,t,g,w,w,d
385,p,x,s,n,p,f,n,w,e,w,w,w,u
386,e,x,y,n,l,f,b,w,e,w,w,w,p
387,e,x,s,n,n,f,b,n,t,w,w,w,g
388,e,,y,y,l,,b,n,e,w,w,w,m
389,e,x,s,y,a,f,b,w,e,w,w,w,m
390,e,b,s,y,a,f,b,n,e,w,w,w,m
391,e,x,s,y,l,f,b,g,e,w,w,w,m
392,e,b,y,w,a,f,b,n,e,w,w,w,g
393,e,x,f,g,n,f,n,k,e,w,w,w,u
394,e,f,y,n,a,f,b,w,e,w,w,w,g
395,e,x,f,g,n,f,b,h,t,w,w,w,g
396,e,x,s,w,l,f,b,k,e,w,w,w,m
397,e,x,,y,l,f,b,w,e,w,w,w,m
398,e,x,f,g,n,f,n,n,e,w,w,w,u
399,p,x,s,n,p,f,n,p,e,w,w,w,u
400,e,b,y,w,l,f,b,w,e,w,w,w,g
401,e,b,y,w,a,f,b,n,e,w,w,w,m
402,p,x,y,n,p,f,n,p,e,w,w,w,u
403,e,b,s,y,l,f,b,w,e,w,w,w,m
404,e,x,s,w,l,f,b,k,e,w,w,w,m
405,e,x,,y,l,f,b,n,e,w,w,w,m
406,e,b,y,y,l,f,b,n,e,w,w,w,g
407,e,x,s,w,a,f,b,g,e,w,w,w,m
408,e,x,s,w,a,f,b,g,e,w,w,w,g
409,e,x,y,n,l,f,b,w,e,w,w,w,p
410,e,x,s,w,a,f,b,w,e,w,w,w,m
411,e,x,s,n,n,f,b,n,t,,w,w,g
412,e,,y,n,l,f,b,n,e,w,w,w,p
413,e,x,y,y,l,f,b,n,e,w,w,w,g
414,p,x,y,n,p,f,n,k,e,w,w,w,g
415,e,b,y,y,a,f,b,w,e,w,w,w,g
416,e,x,f,w,l,f,n,p,t,w,w,w,d
417,p,x,s,n,p,f,n,w,e,w,w,w,u
418,e,x,y,y,l,f,b,k,e,w,w,w,g
419,e,f,f,g,n,f,b,h,t,w,w,w,g
420,e,x,y,w,l,f,b,n,e,w,w,w,g
421,e,b,y,w,a,f,b,w,e,w,w,w,m
422,p,x,y,n,p,f,n,p,e,w,w,w,u
423,e,f,y,n,l,f,b,w,e,w,w,w,g
424,e,x,s,w,l,f,b,n,e,w,w,w,m
425,e,x,s,w,a,f,n,n,t,w,w,w,d
426,e,f,y,n,a,f,b,n,e,w,w,w,p
427,e,b,s,w,a,f,b,k,e,w,w,w,m
428,e,x,s,w,n,f,b,p,t,w,w,w,g
429,e,f,f,g,n,f,n,n,e,w,w,w,u
430,e,x,y,w,a,f,b,g,e,w,w,w,g
431,e,x,y,y,l,f,b,n,e,w,w,w,g
432,e,b,s,y,l,f,b,g,e,w,w,w,g
433,e,b,s,y,l,f,b,w,e,w,w,w,g
434,e,f,s,w,,f,n,n,t,w,w,w,d
435,e,b,s,w,a,f,b,w,e,w,w,w,m
436,e,x,f,y,a,f,n,n,t,w,w,w,d
437,e,x,y,w,l,f,b,g,e,w,w,w,m
438,e,b,y,y,l,f,b,k,e,w,w,w,m
439,e,x,y,n,a,f,b,p,e,w,w,w,p
440,e,x,y,w,l,f,b,n,e,w,w,w,m
441,e,x,y,w,l,f,b,g,e,w,w,w,m
442,e,x,y,y,a,f,b,p,e,w,w,w,p
443,e,x,y,w,l,f,b,n,e,w,w,w,m
444,e,x,s,y,l,f,b,w,e,w,w,w,m
445,e,x,y,n,l,f,b,p,e,w,w,w,g
446,e,x,s,w,l,f,b,n,e,w,w,w,g
447,e,f,y,n,l,f,b,n,e,w,w,w,g
448,e,b,s,w,l,f,b,w,e,w,w,w,m
449,e,x,f,n,n,f,b,n,t,g,p,w,d
450,e,x,y,w,l,f,b,k,e,w,w,w,m
451,e,b,s,w,l,f,b,g,e,w,w,w,g
452,e,b,s,y,l,f,b,g,e,w,w,w,m
453,e,x,f,y,l,f,n,p,t,w,w,w,d
454,e,b,s,w,l,f,b,g,e,w,w,w,m
455,e,x,s,g,n,f,b,h,t,w,w,w,g
456,e,b,s,w,a,f,b,k,e,w,w,w,g
457,e,b,s,y,l,f,b,w,e,w,w,w,m
458,e,f,y,y,a,f,b,n,e,w,w,w,p
459,e,f,y,n,a,f,b,w,e,w,w,w,p
460,e,x,s,w,a,f,b,k,e,w,w,,m
461,e,f,y,y,l,f,b,n,e,w,w,w,g
462,e,b,s,w,a,f,b,g,e,w,w,w,g
463,e,x,y,y,a,f,b,w,e,w,w,w,m
464,e,x,f,n,n,f,n,k,e,,w,w,u
465,e,f,y,n,a,f,b,p,e,w,w,w,g
466,e,x,s,w,a,f,b,g,,w,w,w,m
467,e,x,s,y,l,f,b,g,e,w,w,w,g
468,e,b,y,y,l,f,b,g,e,w,w,w,g
469,e,f,y,y,a,f,b,w,e,w,w,w,p
470,e,x,y,y,l,f,b,g,e,w,w,w,g
471,e,x,y,w,a,f,b,w,e,w,w,w,m
472,e,f,f,w,a,f,n,n,t,w,w,w,d
473,e,s,f,g,n,f,n,k,e,w,w,w,u
474,e,f,s,y,l,f,n,n,t,w,w,w,d
475,e,f,f,g,n,f,n,k,e,w,w,w,u
476,e,x,f,n,n,f,n,p,e,w,w,w,u
477,e,b,y,w,a,f,b,w,e,w,w,w,g
478,e,x,s,w,a,f,n,p,t,w,w,w,d
479,e,b,y,y,l,f,b,n,e,w,w,w,m
480,e,b,y,y,a,f,b,k,e,w,w,w,m
481,e,b,y,y,l,f,b,g,e,w,w,w,g
482,e,f,s,w,l,f,n,p,t,w,w,w,d
483,e,f,f,g,n,f,n,g,e,w,w,w,u
484,e,f,s,w,a,f,n,w,t,w,w,w,d
485,e,f,y,y,a,f,b,p,e,w,w,w,g
486,e,x,y,w,l,f,b,w,e,w,w,w,m
487,e,s,f,n,n,f,n,p,e,w,w,w,u
488,e,x,y,,l,f,b,n,e,w,w,w,p
489,e,x,y,n,a,f,b,n,e,w,w,w,p
490,e,f,f,y,a,f,n,n,t,w,w,w,d
491,p,f,s,n,p,,n,p,e,w,w,w,g
492,p,x,s,n,p,f,n,k,e,w,w,w,u
493,e,f,y,n,l,f,b,w,e,w,w,w,p
494,e,x,y,y,a,f,b,w,e,w,w,w,g
